2020-04-26 15:04:89 INFO  ServicePage :33 -  Clicking on close link[[ChromeDriver: chrome on WINDOWS (35a4115a39092130e9f8489801305fa0)] -> xpath: //span[@class='button__text'][contains(text(),'Close')]]
2020-04-26 15:04:110 INFO  HomePage :36 - Get text from services button[[ChromeDriver: chrome on WINDOWS (35a4115a39092130e9f8489801305fa0)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 19:04:951 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 19:04:929 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 19:04:957 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (accfe45217842be4645c21bf5e304f84)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 19:04:643 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 19:04:165 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 19:04:343 INFO  LoginPage :40 - enter email[[ChromeDriver: chrome on WINDOWS (f381f3581d7915a90b36cf04de5466f5)] -> id: username-input]
2020-04-26 19:04:461 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (f381f3581d7915a90b36cf04de5466f5)] -> id: password-input]
2020-04-26 19:04:953 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (f381f3581d7915a90b36cf04de5466f5)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 19:04:985 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (f381f3581d7915a90b36cf04de5466f5)] -> xpath: //span[@id='password.errors']]
2020-04-26 19:04:693 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 19:04:349 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (75a37332265c19aef7b3528671adea95)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 19:04:77 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (75a37332265c19aef7b3528671adea95)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 19:04:784 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 19:04:427 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (610d6625817253e6a398d3239f8c6430)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 19:04:138 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (610d6625817253e6a398d3239f8c6430)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 19:04:352 INFO  ServicePage :33 -  Clicking on close link[[ChromeDriver: chrome on WINDOWS (610d6625817253e6a398d3239f8c6430)] -> xpath: //span[@class='button__text'][contains(text(),'Close')]]
